"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","TC37VerifyImageLoading","Surefire suite","2026-09-22","failed","2026-09-22","tests.BrokenImagesTest","Surefire test","tests.BrokenImagesTest","TC37VerifyImageLoading"
"","344","TC28VerifyOnlyOneOptionCanBeSelectedAtaTime","Surefire suite","2026-09-22","passed","2026-09-22","tests.DropdownTest","Surefire test","tests.DropdownTest","TC28VerifyOnlyOneOptionCanBeSelectedAtaTime"
"","433","unsuccessfulLogin","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","unsuccessfulLogin"
"","473","TC24VerifyOptionRemainsSelectedAfterReopeningAndClosing","Surefire suite","2026-09-22","passed","2026-09-22","tests.DropdownTest","Surefire test","tests.DropdownTest","TC24VerifyOptionRemainsSelectedAfterReopeningAndClosing"
"","413","unsuccessfulLogin","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","unsuccessfulLogin"
"","155","TC21DropdownDefaultState","Surefire suite","2026-09-22","passed","2026-09-22","tests.DropdownTest","Surefire test","tests.DropdownTest","TC21DropdownDefaultState"
"","125","TC20PasswordIsMasked","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","TC20PasswordIsMasked"
"","934","unsuccessfulLogin","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","unsuccessfulLogin"
"","445","unsuccessfulLogin","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","unsuccessfulLogin"
"","414","unsuccessfulLogin","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","unsuccessfulLogin"
"","212","TC22VerifyDropdownOptionsDisplayed","Surefire suite","2026-09-22","passed","2026-09-22","tests.DropdownTest","Surefire test","tests.DropdownTest","TC22VerifyDropdownOptionsDisplayed"
"","756","unsuccessfulLogin","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","unsuccessfulLogin"
"","221","TC36VerifyPageContent","Surefire suite","2026-09-22","passed","2026-09-22","tests.BrokenImagesTest","Surefire test","tests.BrokenImagesTest","TC36VerifyPageContent"
"","336","TC33VerifyCheckboxesStateChangesCorrectly","Surefire suite","2026-09-22","passed","2026-09-22","tests.CheckboxTest","Surefire test","tests.CheckboxTest","TC33VerifyCheckboxesStateChangesCorrectly"
"","630","TC1SuccessfulLogin","Surefire suite","2026-09-22","passed","2026-09-22","tests.LoginTest","Surefire test","tests.LoginTest","TC1SuccessfulLogin"
